date, pm25, pm10, o3, no2, so2, co, year
8/18, 39, , 22, 6, , 3, 2021
8/19, 50, , 26, 3, , 2, 2021
8/20, 46, , 32, 3, , 3, 2021
8/21, 51, , 31, 1, , 3, 2021
8/22, 56, , 23, 1, , 2, 2021
8/23, 18, , 29, 2, , 2, 2021
8/24, 32, , 29, 2, , 3, 2021
8/25, 32, , 30, 2, , 3, 2021
8/26, 37, , 21, 3, , 3, 2021
8/27, 42, , 22, 10, , 4, 2021
8/28, 53, , 31, 9, , 5, 2021
8/29, 72, , 28, 2, , 3, 2021
8/30, 34, , 29, 2, , 3, 2021
8/31, 49, , 30, 1, , 3, 2021
9/1, 46, , 29, 1, , 3, 2021
9/2, 44, , 28, 2, , 4, 2021
9/3, 66, , 28, 3, , 4, 2021
9/4, 60, , 35, 4, , 4, 2021
9/5, 60, , 26, 5, , 4, 2021
9/6, 61, , 21, 4, , 3, 2021
9/7, 32, , 21, 5, , 3, 2021
9/8, 34, , 25, 4, , 3, 2021
9/9, 31, , 23, 2, , 2, 2021
9/10, 26, , 24, 2, , 2, 2021
9/11, 15, , 27, 1, , 2, 2021
9/12, 31, , 21, 2, , 2, 2021
9/13, 36, , 22, 2, , 2, 2021
9/14, 51, , 24, 4, , 3, 2021
9/15, 39, , 33, 2, , 3, 2021
9/16, 47, , 31, 2, , 3, 2021
9/17, 37, , 28, 2, , 3, 2021
9/18, 40, , 23, 2, , 2, 2021
9/19, 25, , 27, 3, , 2, 2021
9/20, 18, , 29, 13, , 4, 2021
9/21, 29, , 39, 14, , 4, 2021
9/22, 35, , 30, 4, , 3, 2021
9/23, 22, , 27, 7, , 3, 2021
9/24, 35, , 27, 5, , 3, 2021
9/25, 16, , 30, 1, , 2, 2021
9/26, 24, , 31, 1, , 2, 2021
9/27, 20, , 28, 2, , 2, 2021
9/28, 14, , 26, 4, , 3, 2021
9/29, 20, , 22, 8, , 3, 2021
9/30, 35, , 24, 14, , 4, 2021
10/1, 37, , 33, 13, , 5, 2021
4/2, 41, , 36, 3, , 3, 2021
4/3, 33, , 37, 1, , 2, 2021
4/4, 24, , 34, 1, , 2, 2021
4/5, 12, , 32, 2, , 2, 2021
4/6, 19, , 34, 2, , 3, 2021
4/7, 36, , 34, 1, , 4, 2021
4/8, 30, , 31, 3, , 4, 2021
4/9, 26, , 34, 2, , 4, 2021
4/10, 39, , 32, 3, , 4, 2021
4/11, 35, , 32, 2, , 4, 2021
4/12, 51, , 32, 2, , 4, 2021
4/13, 65, , 36, 1, , 4, 2021
4/14, 54, , 40, 3, , 2, 2021
4/15, 54, , 38, 2, , 2, 2021
4/16, 46, , 35, 2, , 2, 2021
4/17, 38, , 33, 2, , 2, 2021
4/18, 39, , 36, 6, , 2, 2021
4/19, 39, , 35, 2, , 2, 2021
4/20, 45, , 29, 4, , 2, 2021
4/21, 41, , 36, 2, , 1, 2021
4/22, 56, , 36, 2, , 2, 2021
4/23, 53, , 35, 1, , 2, 2021
4/24, 47, , 35, 1, , 2, 2021
4/25, 18, , 35, 2, , 2, 2021
4/26, 16, , 36, 3, , 2, 2021
4/27, 17, , 30, 8, , 2, 2021
4/28, 22, , 34, 8, , 3, 2021
4/29, 30, , 32, 2, , 2, 2021
4/30, 24, , 28, 2, , 2, 2021
5/1, 13, , 29, 1, , 1, 2021
5/2, 23, , 28, 4, , 2, 2021
5/3, 46, , 30, 5, , 1, 2021
5/4, 52, , 26, 5, , 1, 2021
5/5, 53, , 35, 3, , 1, 2021
5/6, 28, , 35, 1, , , 2021
5/7, 21, , 34, 4, , 2, 2021
5/8, 45, , 35, 7, , 2, 2021
5/9, 52, , 30, 3, , 2, 2021
5/10, 53, , 30, 5, , 2, 2021
5/11, 56, , 32, 4, , 2, 2021
5/12, 35, , 33, 2, , 2, 2021
5/13, 16, , 32, 1, , 2, 2021
5/14, 17, , 35, 1, , 2, 2021
5/15, 35, , 34, 1, , 3, 2021
5/16, 28, , 36, 1, , 2, 2021
5/17, 20, , 32, 2, , 2, 2021
5/18, 15, , 36, 2, , 1, 2021
5/19, 28, , 35, 1, , 1, 2021
5/20, 29, , 33, 3, , 1, 2021
5/21, 27, , 31, 3, , 1, 2021
5/22, 35, , 35, 3, , 1, 2021
5/23, 45, , 35, 1, , 1, 2021
5/24, 21, , 28, 1, , 1, 2021
5/25, 16, , 29, 1, , 1, 2021
5/26, 20, , 26, 2, , 1, 2021
5/27, 33, , 24, 1, , 1, 2021
5/28, 20, , 27, 1, , 1, 2021
5/29, 36, , 26, 1, , 1, 2021
5/30, 44, , 27, 1, , 1, 2021
5/31, 50, , 28, 3, , 1, 2021
6/1, 57, , 25, 2, , 1, 2021
6/2, 18, , 18, 1, , 1, 2021
6/3, 9, , 14, 1, , 1, 2021
6/4, 27, , 28, 1, , 1, 2021
6/5, 29, , 28, 1, , 1, 2021
6/6, 45, , 29, 1, , 1, 2021
