date, pm25, pm10, o3, no2, so2, co, year
12/6, 31, , 18, 25, , 4, 2017
12/7, 51, , 15, 33, , 6, 2017
12/8, 59, , 16, 32, , 6, 2017
12/9, 73, , 14, 28, , 5, 2017
12/10, 78, , 17, 24, , 4, 2017
12/11, 57, , 7, 33, , 6, 2017
12/12, 59, , 8, 32, , 7, 2017
12/13, 63, , 10, 28, , 6, 2017
12/14, 76, , 11, 29, , 6, 2017
12/15, 79, , 13, 26, , 5, 2017
12/16, 116, , 29, 8, , 2, 2017
12/17, 33, , 26, 14, , 3, 2017
12/18, 28, , 16, 29, , 6, 2017
12/19, 72, , 25, 21, , 5, 2017
12/20, 58, , 25, 7, , 2, 2017
12/21, 22, , 21, 14, , 3, 2017
12/22, 28, , 14, 24, , 5, 2017
12/23, 77, , 16, 18, , 4, 2017
12/24, 81, , 11, 21, , 5, 2017
12/25, 66, , 15, 18, , 4, 2017
12/26, 65, , 17, 20, , 5, 2017
12/27, 54, , 5, 26, , 6, 2017
12/28, 62, , 6, 25, , 6, 2017
12/29, 59, , 10, 22, , 5, 2017
12/30, 72, , 11, 25, , 6, 2017
12/31, 69, , 24, 22, , 7, 2017
1/1, 69, , 11, 23, , 6, 2018
7/2, 38, , 18, 1, , 3, 2017
7/3, 19, , 20, 2, , 3, 2017
7/4, 17, , 22, 1, , 3, 2017
7/5, 19, , 18, 3, , 4, 2017
7/6, 16, , 17, 5, , 4, 2017
7/7, 24, , 16, 9, , 4, 2017
7/8, 33, , 17, 7, , 4, 2017
7/9, 50, , 17, 2, , 3, 2017
7/10, 29, , 17, 3, , 3, 2017
7/11, 36, , 20, 2, , 4, 2017
7/12, 50, , 18, 3, , 4, 2017
7/13, 44, , 15, 4, , 4, 2017
7/14, 27, , 16, 3, , 4, 2017
7/15, 30, , 17, 6, , 4, 2017
7/16, 44, , 16, 7, , 4, 2017
7/17, 54, , 16, 4, , 4, 2017
7/18, 53, , 14, 3, , 4, 2017
7/19, 39, , 14, 3, , 4, 2017
7/20, 38, , 13, 3, , 4, 2017
7/21, 33, , 13, 2, , 4, 2017
7/22, 35, , 17, 5, , 4, 2017
7/23, 45, , 11, 2, , 4, 2017
7/24, 20, , 16, 3, , 4, 2017
7/25, 21, , 17, 4, , 5, 2017
7/26, 22, , 19, 4, , 4, 2017
7/27, 15, , 12, 5, , 5, 2017
7/28, 17, , 15, 3, , 4, 2017
7/29, 36, , 15, 1, , 4, 2017
7/30, 36, , 18, 2, , 4, 2017
7/31, 15, , 17, 3, , 4, 2017
8/1, 16, , 15, 6, , 5, 2017
8/2, 13, , 17, 7, , 5, 2017
8/3, 15, , 15, 13, , 6, 2017
8/4, 29, , 15, 9, , 5, 2017
8/5, 18, , 18, 2, , 5, 2017
8/6, 9, , 22, 1, , 5, 2017
8/7, 40, , 23, 2, , 5, 2017
8/8, 39, , 18, 3, , 5, 2017
8/9, 16, , 17, 3, , 5, 2017
8/10, 24, , 17, 2, , 4, 2017
8/11, 35, , 20, 3, , 5, 2017
8/12, 32, , 20, 1, , 5, 2017
8/13, 37, , 14, 1, , 4, 2017
8/14, 19, , 18, 3, , 4, 2017
8/15, 44, , 17, 3, , 4, 2017
8/16, 39, , 18, 3, , 4, 2017
8/17, 40, , 18, 4, , 5, 2017
8/18, 38, , 20, 3, , 5, 2017
8/19, 37, , 19, 1, , 5, 2017
8/20, 30, , 23, 1, , 5, 2017
8/21, 45, , 22, 3, , 5, 2017
8/22, 34, , 27, 3, , 5, 2017
8/23, 52, , 25, 3, , 5, 2017
8/24, 48, , 20, 2, , 4, 2017
8/25, 28, , 19, 4, , 5, 2017
8/26, 49, , 25, 8, , 5, 2017
8/27, 43, , 21, 5, , 5, 2017
8/28, 49, , 24, 5, , 6, 2017
8/29, 48, , 22, 3, , 5, 2017
8/30, 40, , 15, 3, , 4, 2017
8/31, 29, , 20, 15, , 7, 2017
9/1, 61, , 74, 30, , 12, 2017
9/2, 124, , 57, 26, , 11, 2017
9/3, 107, , 33, 11, , 7, 2017
9/4, 112, , 26, 6, , 7, 2017
9/5, 122, , 24, , , , 2017
9/6, 51, , , , , , 2017
9/10, 40, , 33, 9, , 6, 2017
9/11, 50, , 24, 11, , 5, 2017
9/12, 51, , 25, 10, , 6, 2017
9/13, 45, , 21, 3, , 3, 2017
9/14, 16, , 20, 3, , 2, 2017
9/15, 41, , 21, 5, , 2, 2017
9/16, 35, , 23, 3, , 2, 2017
9/17, 54, , 20, 1, , 2, 2017
9/18, 40, , 24, 3, , 2, 2017
9/19, 18, , 21, 7, , 2, 2017
9/20, 29, , 24, 5, , 2, 2017
9/21, 26, , 21, 3, , 2, 2017
9/22, 24, , 19, 6, , 2, 2017
9/23, 22, , 22, 11, , 3, 2017
9/24, 33, , 23, 12, , 3, 2017
9/25, 45, , 19, 18, , 4, 2017
9/26, 52, , 25, 18, , 4, 2017
9/27, 49, , 36, 21, , 4, 2017
9/28, 56, , 21, 13, , 3, 2017
9/29, 36, , 20, 3, , 2, 2017
9/30, 24, , 19, 5, , 2, 2017
10/1, 41, , 21, 10, , 3, 2017
4/2, 44, , 23, 4, , 1, 2017
4/3, 49, , 29, 12, , 2, 2017
4/4, 54, , 32, 7, , , 2017
4/5, 39, , 45, 18, , 1, 2017
4/6, 32, , 45, 15, , , 2017
4/7, 33, , 36, 4, , 2, 2017
4/8, 34, , 38, 4, , 2, 2017
4/9, 18, , 34, 7, , 2, 2017
4/10, 24, , 32, 10, , 2, 2017
4/11, 25, , 32, 11, , 2, 2017
4/12, 33, , 35, 4, , 2, 2017
4/13, 14, , 37, 5, , 2, 2017
4/14, 19, , 30, 7, , 2, 2017
4/15, 20, , 28, 11, , 3, 2017
4/16, 30, , 33, 8, , 2, 2017
4/17, 31, , 29, 10, , 3, 2017
4/18, 19, , 31, 6, , 2, 2017
4/19, 18, , 30, 8, , 3, 2017
4/20, 25, , 34, 8, , 3, 2017
4/21, 27, , 28, 12, , 3, 2017
4/22, 33, , 29, 6, , 2, 2017
4/23, 22, , 32, 2, , 2, 2017
4/24, 15, , 33, 4, , 2, 2017
4/25, 22, , 31, 5, , 2, 2017
4/26, 18, , 24, 4, , 3, 2017
4/27, 19, , 33, 8, , 3, 2017
4/28, 33, , 30, 11, , 3, 2017
4/29, 39, , 32, 7, , 2, 2017
4/30, 31, , 28, 4, , 2, 2017
5/1, 45, , 28, 12, , 4, 2017
5/2, 44, , 18, 13, , 3, 2017
5/3, 39, , 16, 14, , 4, 2017
5/4, 41, , 18, 5, , 2, 2017
5/5, 18, , 32, 3, , 2, 2017
5/6, 23, , 30, 3, , 2, 2017
5/7, 43, , 27, 4, , 2, 2017
5/8, 58, , 25, 6, , 3, 2017
5/9, 62, , 30, 8, , 3, 2017
5/10, 60, , 30, 3, , 3, 2017
5/11, 36, , 29, 4, , 3, 2017
5/12, 19, , 28, 4, , 3, 2017
5/13, 15, , 27, 3, , 3, 2017
5/14, 21, , 25, 4, , 3, 2017
5/15, 34, , 30, 7, , 3, 2017
5/16, 41, , 28, 3, , 2, 2017
5/17, 18, , 25, 5, , 2, 2017
5/18, 29, , 21, 11, , 2, 2017
5/19, 44, , 24, 16, , 3, 2017
5/20, 54, , 23, 8, , 2, 2017
5/21, 32, , 22, 5, , 2, 2017
5/22, 41, , 23, 5, , 2, 2017
5/23, 25, , 25, 4, , 2, 2017
5/24, 18, , 29, 3, , 2, 2017
5/25, 20, , 28, 4, , 2, 2017
5/26, 24, , 27, 3, , 2, 2017
5/27, 23, , 25, 2, , 2, 2017
5/28, 25, , 25, 1, , 2, 2017
5/29, 23, , 25, 1, , 2, 2017
5/30, 21, , 24, 2, , 2, 2017
5/31, 28, , 22, 3, , 2, 2017
6/1, 18, , 18, 4, , 2, 2017
6/2, 15, , , , , , 2017
6/4, 33, , 28, 2, , 2, 2017
6/5, 44, , 24, 5, , 2, 2017
6/6, 54, , 24, 2, , 2, 2017
6/7, 46, , 22, 3, , 2, 2017
6/8, 33, , 17, 6, , 3, 2017
6/9, 22, , 26, 4, , 3, 2017
6/10, 23, , 23, 2, , 2, 2017
6/11, 21, , 22, 2, , 2, 2017
6/12, 31, , 18, 4, , 3, 2017
6/13, 48, , 19, 6, , 3, 2017
6/14, 46, , 23, 4, , 3, 2017
6/15, 49, , 18, 5, , 3, 2017
6/16, 36, , 19, 5, , 3, 2017
6/17, 29, , 17, 4, , 3, 2017
6/18, 46, , 26, 12, , 4, 2017
6/19, 55, , 14, 5, , 3, 2017
6/20, 48, , 13, 3, , 3, 2017
6/21, 44, , 16, 5, , 3, 2017
6/22, 40, , 21, 6, , 3, 2017
6/23, 52, , 19, 4, , 3, 2017
6/24, 22, , 18, 2, , 3, 2017
6/25, 15, , 20, 1, , 3, 2017
6/26, 9, , 19, 3, , 3, 2017
6/27, 18, , 17, 2, , 3, 2017
6/28, 10, , 20, 3, , 3, 2017
6/29, 34, , 19, 3, , 3, 2017
6/30, 44, , 19, 4, , 3, 2017
7/1, 41, , 19, 1, , 3, 2017
1/3, 17, , 28, 7, , 5, 2017
1/4, 14, , 26, 9, , 5, 2017
1/5, 14, , 22, 14, , 6, 2017
1/6, 16, , 22, 16, , 6, 2017
1/7, 23, , 24, 8, , 5, 2017
1/8, 31, , 28, 1, , 5, 2017
1/9, 15, , 33, 4, , 6, 2017
1/10, 14, , 35, 3, , 5, 2017
1/11, 12, , 33, 7, , 5, 2017
1/12, 21, , 24, 14, , 6, 2017
1/13, 22, , 14, 18, , 8, 2017
1/14, 38, , 18, 17, , 8, 2017
1/15, 36, , 16, 14, , 7, 2017
1/16, 54, , 14, 17, , 7, 2017
1/17, 65, , 9, 20, , 8, 2017
1/18, 82, , 32, 15, , 6, 2017
1/19, 52, , 34, 7, , 1, 2017
1/20, 31, , 33, 8, , 1, 2017
1/21, 22, , 34, 3, , , 2017
1/22, 25, , 32, 6, , 1, 2017
1/23, 25, , 28, 15, , 2, 2017
1/24, 26, , 24, 14, , 2, 2017
1/25, 25, , 25, 17, , 3, 2017
1/26, 26, , 17, 22, , 4, 2017
1/27, 42, , 10, 22, , 3, 2017
1/28, 40, , , , , , 2017
1/30, 47, , 17, 24, , 5, 2017
1/31, 54, , 14, 26, , 5, 2017
2/1, 78, , 10, 25, , 5, 2017
2/2, 79, , 24, 10, , 2, 2017
2/3, 23, , 33, 3, , 2, 2017
2/4, 16, , 31, 5, , 2, 2017
2/5, 24, , 33, 7, , 2, 2017
2/6, 22, , 32, 5, , 2, 2017
2/7, 21, , 24, 7, , 2, 2017
2/8, 21, , 13, 8, , 3, 2017
2/9, 20, , 32, 4, , 1, 2017
2/10, 18, , 32, 6, , 1, 2017
2/11, 16, , 25, 8, , 2, 2017
2/12, 22, , 22, 13, , 3, 2017
2/13, 30, , 12, 17, , 4, 2017
2/14, 44, , 19, 18, , 4, 2017
2/15, 45, , 30, 18, , 5, 2017
2/16, 47, , 35, 6, , 2, 2017
2/17, 42, , 33, 10, , 2, 2017
2/18, 27, , 33, 4, , 1, 2017
2/19, 23, , 31, 3, , , 2017
2/20, 18, , 38, 5, , 1, 2017
2/21, 24, , 36, 6, , 1, 2017
2/22, 33, , 32, 10, , 2, 2017
2/23, 20, , 30, 8, , 1, 2017
2/24, 21, , 30, 15, , 3, 2017
2/25, 24, , 33, 9, , 2, 2017
2/26, 25, , 32, 8, , 1, 2017
2/27, 25, , 29, 10, , 1, 2017
2/28, 22, , 30, 10, , , 2017
3/1, 23, , 23, 16, , 1, 2017
3/2, 24, , 22, 18, , 4, 2017
3/3, 38, , 32, 12, , 5, 2017
3/4, 34, , 32, 3, , 3, 2017
3/5, 11, , 37, 3, , 3, 2017
3/6, 19, , 29, 12, , 3, 2017
3/7, 24, , 27, 19, , 4, 2017
3/8, 32, , 26, 14, , 2, 2017
3/9, 20, , 18, 15, , 4, 2017
3/10, 28, , 14, 14, , 5, 2017
3/11, 28, , 25, 9, , 5, 2017
3/12, 29, , 21, 9, , 5, 2017
3/13, 28, , 25, 19, , 6, 2017
3/14, 40, , 30, 17, , 3, 2017
3/15, 41, , 19, 5, , 2, 2017
3/16, 18, , 25, 6, , 2, 2017
3/17, 15, , 32, 16, , 4, 2017
3/18, 36, , 27, 8, , 2, 2017
3/19, 25, , 27, 5, , 2, 2017
3/20, 25, , 25, 8, , 1, 2017
3/21, 32, , 34, 3, , 2, 2017
3/22, 28, , 35, 4, , 3, 2017
3/23, 21, , 34, 6, , 3, 2017
3/24, 23, , 33, 9, , 3, 2017
3/25, 23, , 33, 6, , 2, 2017
3/26, 31, , 35, 3, , 2, 2017
3/27, 23, , 30, 6, , 1, 2017
3/28, 31, , 32, 12, , 2, 2017
3/29, 36, , 27, 12, , 3, 2017
3/30, 55, , 30, 4, , 2, 2017
3/31, 42, , 32, 7, , 2, 2017
4/1, 38, , 31, 9, , 1, 2017
10/2, 28, , 29, 3, , 3, 2016
10/3, 25, , 25, 10, , 4, 2016
10/4, 27, , 25, 9, , 3, 2016
10/5, 29, , 23, 12, , 4, 2016
10/6, 28, , 22, 16, , 5, 2016
10/7, 26, , 22, 22, , 6, 2016
10/8, 39, , 37, 20, , 6, 2016
10/9, 34, , 31, 11, , 4, 2016
10/10, 31, , 33, 5, , 3, 2016
10/11, 22, , 32, 5, , 3, 2016
10/12, 26, , 23, 4, , 3, 2016
10/13, 22, , 20, 5, , 3, 2016
10/14, 17, , 30, 4, , 3, 2016
10/15, 20, , 28, 5, , 3, 2016
10/16, 20, , 31, 3, , 2, 2016
10/17, 24, , 31, 7, , 3, 2016
10/18, 29, , 24, 12, , 3, 2016
10/19, 23, , 21, 17, , 4, 2016
10/20, 33, , 18, 23, , 7, 2016
10/21, 39, , 17, 13, , 5, 2016
10/22, 33, , 24, 6, , 3, 2016
10/23, 29, , 35, 3, , 2, 2016
10/24, 29, , 30, 5, , 2, 2016
10/25, 31, , 19, 7, , 2, 2016
10/26, 17, , 18, 8, , 2, 2016
10/27, 16, , 11, 14, , 3, 2016
10/28, 24, , 24, 8, , 2, 2016
10/29, 27, , 24, 7, , 3, 2016
10/30, 12, , 32, 3, , 2, 2016
10/31, 25, , 30, 7, , 3, 2016
11/1, 24, , 30, 8, , 3, 2016
11/2, 35, , 21, 18, , 5, 2016
11/3, 35, , 17, 20, , 5, 2016
11/4, 34, , 23, 18, , 5, 2016
11/5, 52, , 19, 12, , 5, 2016
11/6, 40, , 18, 8, , 3, 2016
11/7, 25, , 14, 21, , 6, 2016
11/8, 31, , 22, 19, , 5, 2016
11/9, 32, , 17, 18, , 5, 2016
11/10, 41, , 15, 21, , 7, 2016
11/11, 42, , 23, 16, , 5, 2016
11/12, 47, , 23, 7, , 3, 2016
11/13, 32, , 22, 13, , 4, 2016
11/14, 40, , 15, 14, , 5, 2016
11/15, 49, , 28, 7, , 3, 2016
11/16, 41, , 26, 9, , 3, 2016
11/17, 47, , 17, 18, , 4, 2016
11/18, 51, , 32, 15, , 4, 2016
11/19, 52, , 32, 4, , 3, 2016
11/20, 41, , 24, 9, , 4, 2016
11/21, 45, , 23, 13, , 4, 2016
11/22, 48, , 23, 16, , 4, 2016
11/23, 50, , 25, 16, , 4, 2016
11/24, 48, , 23, 15, , 4, 2016
11/25, 51, , 22, 18, , 5, 2016
11/26, 60, , 30, 6, , 3, 2016
11/27, 45, , 30, 4, , 3, 2016
11/28, 42, , 24, 11, , 3, 2016
11/29, 47, , 18, 20, , 5, 2016
11/30, 48, , 12, 20, , 5, 2016
12/1, 43, , 19, 19, , 6, 2016
12/2, 41, , 25, 15, , 4, 2016
12/3, 43, , 16, 20, , 6, 2016
12/4, 51, , 22, 13, , 6, 2016
12/5, 52, , 16, 15, , 5, 2016
12/6, 44, , 14, 13, , 4, 2016
12/7, 38, , 18, 12, , 4, 2016
12/8, 42, , 11, 20, , 6, 2016
12/9, 32, , 21, 11, , 5, 2016
12/10, 21, , , , , , 2016
12/12, 32, , 13, 16, , 5, 2016
12/13, 40, , 7, 20, , 6, 2016
12/14, 57, , 17, 15, , 5, 2016
12/15, 44, , 29, 5, , 3, 2016
12/16, 18, , 29, 6, , 3, 2016
12/17, 42, , 21, 15, , 4, 2016
12/18, 44, , 22, 17, , 5, 2016
12/19, 52, , 15, 20, , 5, 2016
12/20, 61, , 11, 21, , 5, 2016
12/23, 33, , 30, 12, , 4, 2016
12/24, 23, , 27, 8, , 3, 2016
12/25, 21, , 21, 11, , 3, 2016
12/26, 36, , 21, 12, , 3, 2016
12/27, 20, , 13, 24, , 6, 2016
12/28, 35, , 12, 24, , 5, 2016
12/29, 38, , 12, 27, , 8, 2016
12/30, 63, , 27, 19, , 7, 2016
12/31, 60, , 24, 8, , 5, 2016
1/1, 23, , 30, 4, , 4, 2017
1/2, 30, , 30, 8, , 5, 2017
7/2, 48, , 17, , , 2, 2016
7/3, 18, , 19, , , 2, 2016
7/4, 13, , 19, , , 2, 2016
7/5, 24, , 20, 1, , 2, 2016
7/6, 23, , 20, 2, , 2, 2016
7/7, 32, , 14, 2, , 2, 2016
7/8, 19, , 13, 1, , 2, 2016
7/9, 12, , 22, , , 2, 2016
7/10, 16, , 18, 2, , 3, 2016
7/11, 20, , 17, 4, , 3, 2016
7/12, 33, , 16, 2, , 2, 2016
7/13, 31, , 15, 4, , 3, 2016
7/14, 38, , 18, 3, , 3, 2016
7/15, 38, , 21, 2, , 3, 2016
7/16, 24, , 19, , , 3, 2016
7/17, 25, , 17, , , 3, 2016
7/18, 27, , 17, 2, , 3, 2016
7/19, 12, , 23, 2, , 3, 2016
7/20, 13, , 19, 2, , 3, 2016
7/21, 17, , 19, 2, , 3, 2016
7/22, 16, , 17, 3, , 3, 2016
7/23, 18, , 18, 3, , 3, 2016
7/24, 47, , 19, 1, , 3, 2016
7/25, 43, , 18, 4, , 3, 2016
7/26, 20, , 19, 10, , 4, 2016
7/27, 20, , 13, 6, , 3, 2016
7/28, 23, , 12, 3, , 3, 2016
7/29, 15, , 12, 3, , 3, 2016
7/30, 13, , 16, 2, , 3, 2016
7/31, 13, , 19, 1, , 3, 2016
8/1, 15, , 23, 2, , 3, 2016
8/2, 19, , 19, 2, , 3, 2016
8/3, 21, , 18, 2, , 2, 2016
8/4, 44, , 18, 2, , 1, 2016
8/5, 27, , 17, 3, , 1, 2016
8/6, 10, , 19, 1, , 1, 2016
8/7, 40, , 17, 1, , 1, 2016
8/8, 32, , 16, 2, , 2, 2016
8/9, 33, , 17, 3, , 2, 2016
8/10, 34, , 17, 3, , 2, 2016
8/11, 23, , 17, 3, , 2, 2016
8/12, 19, , 16, 3, , 2, 2016
8/13, 19, , 16, 3, , 2, 2016
8/14, 13, , 13, 2, , 2, 2016
8/15, 19, , 14, 2, , 2, 2016
8/16, 15, , 17, 2, , 2, 2016
8/17, 22, , 18, 2, , 2, 2016
8/18, 18, , 20, 3, , 3, 2016
8/19, 19, , 26, 3, , 3, 2016
8/20, 39, , 25, 1, , 2, 2016
8/21, 25, , 25, 1, , 2, 2016
8/22, 19, , 24, 3, , 2, 2016
8/23, 19, , 24, 3, , 2, 2016
8/24, 24, , 22, 3, , 2, 2016
8/25, 27, , 23, 2, , 2, 2016
8/26, 26, , 25, 2, , 2, 2016
8/27, 20, , 26, 1, , 2, 2016
8/28, 34, , 29, 1, , 2, 2016
8/29, 26, , 24, 3, , 2, 2016
8/30, 20, , 16, 3, , 2, 2016
8/31, 14, , 16, 2, , 2, 2016
9/1, 17, , 18, 2, , 2, 2016
9/2, 30, , 18, 3, , 2, 2016
9/3, 47, , 22, 1, , 2, 2016
9/4, 41, , 20, 2, , 1, 2016
9/5, 45, , 20, 3, , 2, 2016
9/6, 47, , 18, 10, , 3, 2016
9/7, 59, , 18, 13, , 4, 2016
9/8, 48, , 34, 5, , 2, 2016
9/9, 36, , 29, 4, , 2, 2016
9/10, 36, , 25, 2, , 2, 2016
9/11, 38, , 25, 1, , 2, 2016
9/12, 34, , 24, 3, , 1, 2016
9/13, 39, , 27, 6, , 2, 2016
9/14, 41, , 24, 10, , 3, 2016
9/15, 31, , 30, 4, , 2, 2016
9/16, 29, , 24, 5, , 3, 2016
9/17, 22, , 21, 5, , 3, 2016
9/18, 16, , 20, 11, , 4, 2016
9/19, 17, , 25, 14, , 5, 2016
9/20, 27, , 24, 4, , 2, 2016
9/28, 9, , 25, 4, , 3, 2016
9/29, 23, , 27, 3, , 2, 2016
9/30, 41, , 28, 3, , 3, 2016
10/1, 35, , 29, 5, , 4, 2016
4/2, 34, , 28, 5, , 2, 2016
4/3, 37, , 26, 3, , 2, 2016
4/4, 35, , 24, 9, , 3, 2016
4/5, 36, , 25, 17, , 5, 2016
4/6, 48, , 29, 24, , 5, 2016
4/7, 38, , 29, 8, , 3, 2016
4/8, 46, , 23, 5, , 3, 2016
4/9, 43, , 22, 5, , 3, 2016
4/10, 21, , 26, 4, , , 2016
4/11, 26, , 25, 5, , 3, 2016
4/12, 33, , 32, 6, , 3, 2016
4/13, 35, , 31, 4, , 3, 2016
4/14, 37, , 32, 6, , 3, 2016
4/15, 42, , 27, 7, , 3, 2016
4/16, 40, , 30, 13, , 5, 2016
4/17, 33, , 38, 13, , 5, 2016
4/18, 42, , 34, 20, , 5, 2016
4/19, 42, , 35, 22, , 5, 2016
4/20, 37, , 29, 13, , 5, 2016
4/21, 34, , 28, 6, , 4, 2016
4/22, 33, , 34, 5, , 4, 2016
4/23, 35, , 29, 4, , 4, 2016
4/24, 35, , 32, 3, , , 2016
4/25, 34, , 30, 6, , 4, 2016
4/26, 36, , 28, 14, , 5, 2016
4/27, 44, , 32, 3, , 3, 2016
4/28, 41, , 27, 7, , 3, 2016
4/29, 50, , 27, 8, , 3, 2016
4/30, 48, , , , , , 2016
5/2, 53, , 28, 5, , 3, 2016
5/3, 55, , 23, 7, , 3, 2016
5/4, 43, , 28, 3, , 3, 2016
5/5, 43, , 27, 5, , 3, 2016
5/6, 41, , 22, 5, , 3, 2016
5/7, 51, , 23, 5, , 2, 2016
5/8, 34, , 26, 3, , 3, 2016
5/9, 39, , 28, 4, , 3, 2016
5/10, 40, , 28, 5, , 3, 2016
5/11, 37, , 28, 4, , 3, 2016
5/12, 38, , 28, 4, , 3, 2016
5/13, 35, , 30, 3, , 3, 2016
5/14, 25, , 26, 2, , 3, 2016
5/15, 14, , 22, 2, , , 2016
5/16, 16, , , , , , 2016
5/18, 44, , 28, 6, , 4, 2016
5/19, 53, , 31, 3, , 3, 2016
5/20, 41, , 29, 2, , , 2016
5/21, 26, , 28, 2, , 3, 2016
5/22, 14, , 23, 2, , 3, 2016
5/23, 11, , 20, 3, , 3, 2016
5/24, 8, , 19, 3, , 2, 2016
5/25, 13, , 25, 3, , 2, 2016
5/26, 20, , 37, 4, , 3, 2016
5/27, 32, , 34, 6, , 3, 2016
5/28, 50, , 34, 11, , 4, 2016
5/29, 53, , 31, 2, , 3, 2016
5/30, 50, , 28, 3, , 3, 2016
5/31, 35, , 24, 7, , 4, 2016
6/1, 35, , 27, 5, , 3, 2016
6/2, 21, , 27, 6, , 4, 2016
6/3, 31, , 27, 14, , 5, 2016
6/4, 29, , 23, 8, , 4, 2016
6/5, 22, , 25, 2, , 3, 2016
6/6, 18, , , , , , 2016
6/8, 15, , 24, 3, , 3, 2016
6/9, 20, , 23, 2, , 3, 2016
6/10, 16, , 26, 6, , 3, 2016
6/11, 26, , 27, 6, , 4, 2016
6/12, 37, , 26, 2, , 3, 2016
6/13, 48, , 27, 2, , 3, 2016
6/14, 37, , 26, 3, , 3, 2016
6/15, 26, , 23, 3, , 3, 2016
6/16, 20, , 25, 4, , 3, 2016
6/17, 19, , 21, 5, , 4, 2016
6/18, 12, , 23, 3, , 4, 2016
6/19, 19, , 29, 9, , 4, 2016
6/20, 28, , 22, 5, , 4, 2016
6/21, 35, , 21, 7, , 4, 2016
6/22, 44, , 24, 3, , 3, 2016
6/23, 37, , 21, 5, , 3, 2016
6/24, 29, , 19, 4, , 4, 2016
6/25, 30, , 20, 5, , 4, 2016
6/26, 51, , 19, 3, , 4, 2016
6/27, 48, , 19, 6, , 4, 2016
6/28, 32, , 16, 4, , 3, 2016
6/29, 41, , 20, 2, , 2, 2016
6/30, 46, , 18, 2, , 2, 2016
7/1, 55, , 17, 1, , 2, 2016
1/5, 58, , 23, 13, , 4, 2016
1/6, 29, , 28, 9, , 3, 2016
1/7, 19, , 19, 16, , 4, 2016
1/8, 35, , 9, 24, , 5, 2016
1/9, 53, , 20, 16, , 4, 2016
1/10, 37, , 19, 11, , 4, 2016
1/11, 38, , 8, 21, , 5, 2016
1/12, 51, , 26, 19, , 5, 2016
1/13, 53, , 28, 9, , 4, 2016
1/14, 36, , 30, 16, , 5, 2016
1/15, 33, , 23, 20, , 5, 2016
1/16, 47, , 13, 14, , 5, 2016
1/17, 30, , 21, 7, , 4, 2016
1/18, 24, , 21, 17, , 5, 2016
1/19, 25, , 26, 11, , 4, 2016
1/20, 37, , 11, 21, , 6, 2016
1/21, 43, , 29, 21, , 5, 2016
1/22, 40, , 32, 9, , 2, 2016
1/23, 16, , 31, 4, , 2, 2016
1/24, 25, , 26, 7, , 2, 2016
1/25, 19, , 18, 14, , 3, 2016
1/26, 26, , 7, 20, , 4, 2016
1/27, 46, , 14, 22, , 6, 2016
1/28, 48, , 14, 26, , 7, 2016
1/29, 57, , 29, 10, , 4, 2016
1/30, 25, , 29, 6, , 3, 2016
1/31, 18, , 27, 4, , 2, 2016
2/1, 19, , 25, 7, , 3, 2016
2/2, 21, , 19, 12, , 3, 2016
2/3, 28, , 19, 15, , 3, 2016
2/4, 34, , 19, 19, , 4, 2016
2/5, 43, , 16, 21, , 4, 2016
2/6, 44, , 18, 21, , 5, 2016
2/7, 48, , 17, 23, , 6, 2016
2/8, 46, , 18, 24, , 5, 2016
2/9, 41, , 19, 30, , 7, 2016
2/10, 63, , 16, 30, , 8, 2016
2/11, 59, , 17, 24, , 6, 2016
2/12, 55, , 15, 17, , 5, 2016
2/13, 37, , 19, 11, , 4, 2016
2/14, 35, , 18, 15, , 5, 2016
2/15, 40, , 16, 20, , 6, 2016
2/16, 27, , 23, 27, , 8, 2016
2/17, 58, , 33, 8, , 2, 2016
2/18, 31, , 32, 5, , 2, 2016
2/19, 25, , 29, 11, , 3, 2016
2/20, 27, , 23, 14, , 4, 2016
2/21, 31, , 26, 13, , 4, 2016
2/22, 29, , 17, 23, , 6, 2016
2/23, 32, , 20, 23, , 5, 2016
2/24, 36, , 26, 27, , 5, 2016
2/25, 47, , 26, 28, , 6, 2016
2/26, 62, , 23, 11, , 3, 2016
2/27, 26, , 26, 7, , 3, 2016
2/28, 20, , 21, 13, , 4, 2016
2/29, 33, , 14, 22, , 5, 2016
3/1, 41, , 22, 14, , 5, 2016
3/2, 29, , 21, 9, , 3, 2016
3/3, 25, , 19, 9, , 3, 2016
3/4, 15, , 20, 10, , 4, 2016
3/5, 21, , 34, 3, , 3, 2016
3/6, 12, , 34, 3, , 2, 2016
3/7, 21, , 31, 9, , 3, 2016
3/8, 19, , 27, 12, , 4, 2016
3/9, 21, , 16, 16, , 5, 2016
3/10, 29, , 29, 8, , 3, 2016
3/11, 17, , 32, 6, , 3, 2016
3/12, 23, , 28, 6, , 3, 2016
3/13, 25, , 32, 2, , 3, 2016
3/14, 24, , 32, 7, , 4, 2016
3/15, 31, , 27, 17, , 5, 2016
3/16, 34, , 6, 25, , 6, 2016
3/17, 49, , , , , , 2016
3/21, 14, , 34, 6, , 4, 2016
3/22, 29, , 27, 10, , 5, 2016
3/23, 29, , 23, 11, , 5, 2016
3/24, 20, , 24, 9, , 5, 2016
3/25, 31, , 27, 10, , 4, 2016
3/26, 44, , 21, 9, , 3, 2016
3/27, 40, , 31, 3, , 2, 2016
3/28, 24, , 30, 5, , 2, 2016
3/29, 27, , 24, 12, , 3, 2016
